,fold,layer_size,momentum_value,activation_value,feature_number,score
167,7,100,0,logistic,17,0.8088888888888889
168,8,100,0,logistic,17,0.7960088691796009
169,9,100,0,logistic,17,0.7933333333333333
170,0,100,0,logistic,18,0.7804878048780488
171,1,100,0,logistic,18,0.78
172,2,100,0,logistic,18,0.7804878048780488
173,3,100,0,logistic,18,0.7955555555555556
174,4,100,0,logistic,18,0.7849223946784922
175,5,100,0,logistic,18,0.78
176,6,100,0,logistic,18,0.7782705099778271
177,7,100,0,logistic,18,0.8177777777777778
178,8,100,0,logistic,18,0.7649667405764967
179,9,100,0,logistic,18,0.7933333333333333
180,0,100,0,logistic,19,0.8048780487804879
181,1,100,0,logistic,19,0.7777777777777778
182,2,100,0,logistic,19,0.7782705099778271
183,3,100,0,logistic,19,0.7955555555555556
184,4,100,0,logistic,19,0.8093126385809313
185,5,100,0,logistic,19,0.7955555555555556
186,6,100,0,logistic,19,0.7849223946784922
187,7,100,0,logistic,19,0.7888888888888889
188,8,100,0,logistic,19,0.8004434589800443
189,9,100,0,logistic,19,0.78
190,0,100,0,logistic,20,0.7671840354767184
191,1,100,0,logistic,20,0.8066666666666666
192,2,100,0,logistic,20,0.7849223946784922
193,3,100,0,logistic,20,0.7977777777777778
194,4,100,0,logistic,20,0.7982261640798226
195,5,100,0,logistic,20,0.7755555555555556
196,6,100,0,logistic,20,0.7915742793791575
197,7,100,0,logistic,20,0.7822222222222223
198,8,100,0,logistic,20,0.7982261640798226
199,9,100,0,logistic,20,0.78
200,0,100,0,logistic,21,0.7605321507760532
201,1,100,0,logistic,21,0.7822222222222223
202,2,100,0,logistic,21,0.7893569844789357
203,3,100,0,logistic,21,0.8177777777777778
204,4,100,0,logistic,21,0.8004434589800443
205,5,100,0,logistic,21,0.7911111111111111
206,6,100,0,logistic,21,0.8203991130820399
207,7,100,0,logistic,21,0.7711111111111111
208,8,100,0,logistic,21,0.8048780487804879
209,9,100,0,logistic,21,0.8066666666666666
210,0,100,0,logistic,22,0.8093126385809313
211,1,100,0,logistic,22,0.7933333333333333
212,2,100,0,logistic,22,0.802660753880266
213,3,100,0,logistic,22,0.7933333333333333
214,4,100,0,logistic,22,0.7893569844789357
215,5,100,0,logistic,22,0.7933333333333333
216,6,100,0,logistic,22,0.7982261640798226
217,7,100,0,logistic,22,0.8177777777777778
218,8,100,0,logistic,22,0.811529933481153
219,9,100,0,logistic,22,0.7711111111111111
220,0,100,0,logistic,23,0.8137472283813747
221,1,100,0,logistic,23,0.7888888888888889
222,2,100,0,logistic,23,0.8048780487804879
223,3,100,0,logistic,23,0.7977777777777778
224,4,100,0,logistic,23,0.802660753880266
225,5,100,0,logistic,23,0.7822222222222223
226,6,100,0,logistic,23,0.802660753880266
227,7,100,0,logistic,23,0.8066666666666666
228,8,100,0,logistic,23,0.7827050997782705
229,9,100,0,logistic,23,0.7977777777777778
230,0,100,0,logistic,24,0.7893569844789357
231,1,100,0,logistic,24,0.7911111111111111
232,2,100,0,logistic,24,0.8203991130820399
233,3,100,0,logistic,24,0.7755555555555556
234,4,100,0,logistic,24,0.7960088691796009
235,5,100,0,logistic,24,0.7688888888888888
236,6,100,0,logistic,24,0.8226164079822617
237,7,100,0,logistic,24,0.7733333333333333
238,8,100,0,logistic,24,0.7782705099778271
239,9,100,0,logistic,24,0.7577777777777778
240,0,100,0,logistic,25,0.7960088691796009
241,1,100,0,logistic,25,0.7911111111111111
242,2,100,0,logistic,25,0.7915742793791575
243,3,100,0,logistic,25,0.7577777777777778
244,4,100,0,logistic,25,0.7849223946784922
245,5,100,0,logistic,25,0.8311111111111111
246,6,100,0,logistic,25,0.7804878048780488
247,7,100,0,logistic,25,0.78
248,8,100,0,logistic,25,0.7915742793791575
249,9,100,0,logistic,25,0.8
250,0,100,0,logistic,26,0.7827050997782705
251,1,100,0,logistic,26,0.7844444444444445
252,2,100,0,logistic,26,0.7760532150776053
253,3,100,0,logistic,26,0.7977777777777778
254,4,100,0,logistic,26,0.7760532150776053
255,5,100,0,logistic,26,0.8133333333333334
256,6,100,0,logistic,26,0.7827050997782705
257,7,100,0,logistic,26,0.8088888888888889
258,8,100,0,logistic,26,0.8137472283813747
259,9,100,0,logistic,26,0.8022222222222222
260,0,100,0,logistic,27,0.7849223946784922
261,1,100,0,logistic,27,0.7933333333333333
262,2,100,0,logistic,27,0.7760532150776053
263,3,100,0,logistic,27,0.8022222222222222
264,4,100,0,logistic,27,0.7871396895787139
265,5,100,0,logistic,27,0.7844444444444445
266,6,100,0,logistic,27,0.7782705099778271
267,7,100,0,logistic,27,0.8
268,8,100,0,logistic,27,0.8004434589800443
269,9,100,0,logistic,27,0.8044444444444444
270,0,100,0,logistic,28,0.7760532150776053
271,1,100,0,logistic,28,0.7888888888888889
272,2,100,0,logistic,28,0.7915742793791575
273,3,100,0,logistic,28,0.8288888888888889
274,4,100,0,logistic,28,0.811529933481153
275,5,100,0,logistic,28,0.8044444444444444
276,6,100,0,logistic,28,0.7937915742793792
277,7,100,0,logistic,28,0.7888888888888889
278,8,100,0,logistic,28,0.7982261640798226
279,9,100,0,logistic,28,0.8044444444444444
280,0,100,0,logistic,29,0.8048780487804879
281,1,100,0,logistic,29,0.7777777777777778
282,2,100,0,logistic,29,0.7760532150776053
283,3,100,0,logistic,29,0.8133333333333334
284,4,100,0,logistic,29,0.8093126385809313
285,5,100,0,logistic,29,0.7866666666666666
286,6,100,0,logistic,29,0.7937915742793792
287,7,100,0,logistic,29,0.7822222222222223
288,8,100,0,logistic,29,0.8004434589800443
289,9,100,0,logistic,29,0.7955555555555556
290,0,100,0,logistic,30,0.7982261640798226
291,1,100,0,logistic,30,0.7911111111111111
