,fold,layer_size,momentum_value,activation_value,feature_number,score
312,2,100,0,relu,32,0.7361419068736141
313,3,100,0,relu,32,0.78
314,4,100,0,relu,32,0.7804878048780488
315,5,100,0,relu,32,0.7644444444444445
316,6,100,0,relu,32,0.7583148558758315
317,7,100,0,relu,32,0.7666666666666667
318,8,100,0,relu,32,0.7849223946784922
319,9,100,0,relu,32,0.7622222222222222
320,0,100,0,relu,33,0.7937915742793792
321,1,100,0,relu,33,0.7688888888888888
322,2,100,0,relu,33,0.7627494456762749
323,3,100,0,relu,33,0.78
324,4,100,0,relu,33,0.7694013303769401
325,5,100,0,relu,33,0.7488888888888889
326,6,100,0,relu,33,0.7893569844789357
327,7,100,0,relu,33,0.7777777777777778
328,8,100,0,relu,33,0.7472283813747228
329,9,100,0,relu,33,0.7911111111111111
330,0,100,0,relu,34,0.7516629711751663
331,1,100,0,relu,34,0.7888888888888889
332,2,100,0,relu,34,0.7627494456762749
333,3,100,0,relu,34,0.8
334,4,100,0,relu,34,0.7960088691796009
335,5,100,0,relu,34,0.7866666666666666
336,6,100,0,relu,34,0.7649667405764967
337,7,100,0,relu,34,0.7666666666666667
338,8,100,0,relu,34,0.7893569844789357
339,9,100,0,relu,34,0.7688888888888888
340,0,100,0,relu,35,0.8048780487804879
341,1,100,0,relu,35,0.7644444444444445
342,2,100,0,relu,35,0.8070953436807096
343,3,100,0,relu,35,0.7777777777777778
344,4,100,0,relu,35,0.8093126385809313
345,5,100,0,relu,35,0.78
346,6,100,0,relu,35,0.7782705099778271
347,7,100,0,relu,35,0.8222222222222222
348,8,100,0,relu,35,0.7871396895787139
349,9,100,0,relu,35,0.7777777777777778
350,0,100,0,relu,36,0.8093126385809313
351,1,100,0,relu,36,0.7711111111111111
352,2,100,0,relu,36,0.7760532150776053
353,3,100,0,relu,36,0.7866666666666666
354,4,100,0,relu,36,0.7738359201773836
355,5,100,0,relu,36,0.7644444444444445
356,6,100,0,relu,36,0.7893569844789357
